key,context,en,fr,it,de,es,ru,zh,ja,ko
common.confirm,Generic dialog confirm button,Confirm,Confirmer,Conferma,Bestätigen,Confirmar,Подтвердить,确认,確認,확인
common.cancel,Generic dialog cancel button,Cancel,Annuler,Annulla,Abbrechen,Cancelar,Отмена,取消,キャンセル,취소
common.maxed,Skill node at max level,Maxed,Maximum,Massimo,Maximiert,Al máximo,Максимум,已满级,最大,최대
common.gold,Currency suffix on gold-tree node costs,gold,or,oro,Gold,oro,золота,金币,ゴールド,골드
common.pts,Currency suffix on Reincarnate node costs,pts,pts,pt,Pkt.,pts,очк.,点,pt,포인트
settings.language,Settings row label,Language,Langue,Lingua,Sprache,Idioma,Язык,语言,言語,언어
settings.language_auto,First dropdown option: follow the OS language,Auto (System),Auto (système),Auto (sistema),Auto (System),Auto (sistema),Авто (система),自动（系统）,自動（システム）,자동(시스템)
settings.gamepad_sensitivity,Settings row label for pad look speed,Gamepad Look Sensitivity,Sensibilité manette,Sensibilità gamepad,Gamepad-Empfindlichkeit,Sensibilidad del mando,Чувствительность геймпада,手柄视角灵敏度,ゲームパッド感度,게임패드 감도
settings.reset_confirm,Confirm dialog body for Reset Settings,Reset all settings to their defaults? Progress is not affected.,Réinitialiser tous les paramètres ? La progression n'est pas affectée.,Ripristinare tutte le impostazioni predefinite? I progressi non vengono toccati.,Alle Einstellungen zurücksetzen? Der Fortschritt bleibt erhalten.,¿Restablecer todos los ajustes? El progreso no se ve afectado.,Сбросить все настройки? Прогресс не будет затронут.,将所有设置恢复为默认值？进度不受影响。,すべての設定を初期値に戻しますか？進行状況は影響を受けません。,모든 설정을 기본값으로 되돌릴까요? 진행 상황은 영향을 받지 않습니다.
settings.reset,Reset Settings confirm button,Reset,Réinitialiser,Ripristina,Zurücksetzen,Restablecer,Сбросить,重置,リセット,초기화
settings.delete_save_confirm,Confirm dialog body for Delete Save,Delete all saved progress? Settings are kept. This cannot be undone.,Supprimer toute la progression sauvegardée ? Les paramètres sont conservés. Cette action est irréversible.,Eliminare tutti i progressi salvati? Le impostazioni vengono mantenute. Non è reversibile.,Alle gespeicherten Fortschritte löschen? Einstellungen bleiben erhalten. Kann nicht rückgängig gemacht werden.,¿Borrar todo el progreso guardado? Los ajustes se conservan. No se puede deshacer.,Удалить весь сохранённый прогресс? Настройки сохранятся. Это нельзя отменить.,删除所有已保存的进度？设置将保留。此操作无法撤销。,保存された進行状況をすべて削除しますか？設定は保持されます。元に戻せません。,저장된 진행 상황을 모두 삭제할까요? 설정은 유지됩니다. 되돌릴 수 없습니다.
settings.delete,Delete Save confirm button,Delete,Supprimer,Elimina,Löschen,Borrar,Удалить,删除,削除,삭제
wave.starts_in,HUD countdown; {0}=seconds,Wave starts in {0},La vague commence dans {0},L'ondata inizia tra {0},Welle beginnt in {0},La oleada empieza en {0},Волна начнётся через {0},第 {0} 秒后波次开始,ウェーブ開始まで {0},{0}초 후 웨이브 시작
wave.begin,Flashed when a wave starts,BEGIN,À L'ASSAUT,ALL'ATTACCO,LOS,¡AL ATAQUE!,В БОЙ,开始,開始,시작
wave.cleared,Flashed when a wave is finished,Wave Cleared!,Vague terminée !,Ondata completata!,Welle geschafft!,¡Oleada superada!,Волна пройдена!,波次通过！,ウェーブクリア！,웨이브 클리어!
skill.percent_increase,Tooltip delta line; {0}=percent,{0}% increase,+{0} %,+{0}%,+{0} %,+{0} %,+{0} %,提升 {0}%,{0}% 上昇,{0}% 증가
wave.label,Persistent wave number label; {0}=wave,Wave {0},Vague {0},Ondata {0},Welle {0},Oleada {0},Волна {0},第 {0} 波,ウェーブ {0},웨이브 {0}
